venue_id,venue_full_name,venue_city,venue_state,league
2004,Leede Arena,Hanover,NH,ncaa_mbb
2086,Charles Koch Arena,Wichita,KS,ncaa_mbb
2134,Millett Hall,Oxford,OH,ncaa_mbb
1935,Cam Henderson Center,Huntington,WV,ncaa_mbb
1951,Jones Convocation Center,Chicago,IL,ncaa_mbb
2002,Levien Gymnasium,New York,NY,ncaa_mbb
1903,Daskalakis Athletic Center,Philadelphia,PA,ncaa_mbb
7093,Knights Hall,Louisville,KY,ncaa_mbb
6285,Hammel Court,North Andover,MA,ncaa_mbb
2201,Williams Arena at Minges Coliseum,Greenville,NC,ncaa_mbb
6853,LionTree Arena,San Diego,CA,ncaa_mbb
2136,Chiles Center,Portland,OR,ncaa_mbb
1989,Joseph G. Echols Hall,Norfolk,VA,ncaa_mbb
4531,Moody Coliseum (Abilene),Abilene,TX,ncaa_mbb
1960,America First Events Center,Cedar City,UT,ncaa_mbb
3416,College Park Center,Arlington,TX,ncaa_mbb
7095,Burns Arena,St. George,UT,ncaa_mbb
2091,UCCU Center,Orem,UT,ncaa_mbb
2049,Reynolds Center,Tulsa,OK,ncaa_mbb
7094,Wisdom Gym,Stephenville,TX,ncaa_mbb
516,American Airlines Center,Dallas,TX,ncaa_mbb
1219,Matthews Arena,Boston,MA,ncaa_mbb
2036,Pizzitola Sports Center,Providence,RI,ncaa_mbb
1910,Bender Arena,Washington,DC,ncaa_mbb
1979,McCarthey Athletic Center,Spokane,WA,ncaa_mbb
2053,Arena-Auditorium,Laramie,WY,ncaa_mbb
2005,Calihan Hall,Detroit,MI,ncaa_mbb
2075,Knapp Center,Des Moines,IA,ncaa_mbb
4808,Bon Secours Wellness Arena,Greenville,SC,ncaa_mbb
5995,CB&S Bank Arena at Flowers Hall,Florence,AL,ncaa_mbb
2154,McAlister Field House,Charleston,SC,ncaa_mbb
317,Schottenstein Center,Columbus,OH,ncaa_mbb
7508,F&M Bank Arena,Clarksville,TN,ncaa_mbb
2112,Icardo Center,Bakersfield,CA,ncaa_mbb
1991,Lloyd Noble Center,Norman,OK,ncaa_mbb
2001,Hynes Athletics Center,New Rochelle,NY,ncaa_mbb
1827,State Farm Arena,Atlanta,GA,ncaa_mbb
1941,C. M. Tad Smith Coliseum,Oxford,MS,ncaa_mbb
4532,McDermott Center,San Antonio,TX,ncaa_mbb
2007,Rose Hill Gym,Bronx,NY,ncaa_mbb
2090,NIU Convocation Center,Dekalb,IL,ncaa_mbb
2132,Kirby Sports Center,Easton,PA,ncaa_mbb
2152,Hooper Eblen Center,Cookeville,TN,ncaa_mbb
684,Memorial Coliseum (IN),Fort Wayne,IN,ncaa_mbb
1936,Lundholm Gymnasium,Durham,NH,ncaa_mbb
2041,Yuengling Center,Tampa,FL,ncaa_mbb
2170,Hulman Center,Terre Haute,IN,ncaa_mbb
2200,Kaplan Arena,Williamsburg,VA,ncaa_mbb
2159,Athletics-Recreation Center,Valparaiso,IN,ncaa_mbb
7509,Foster Pavilion,Waco,TX,ncaa_mbb
9639,Mercyhurst Athletic Center,Erie,PA,ncaa_mbb
1825,Nassau Veterans Memorial Coliseum,Uniondale,NY,ncaa_mbb
2101,Alico Arena,Fort Myers,FL,ncaa_mbb
2046,Templeton Center,Clinton,SC,ncaa_mbb
2116,Savage Arena,Toledo,OH,ncaa_mbb
2208,Sojka Pavilion,Lewisburg,PA,ncaa_mbb
7339,The Field House,Commerce,TX,ncaa_mbb
470,The Thunderdome,Santa Barbara,CA,ncaa_mbb
1897,Murphy Center,Murfreesboro,TN,ncaa_mbb
2130,Pete Mathews Coliseum,Jacksonville,AL,ncaa_mbb
544,Leavey Center,Santa Clara,CA,ncaa_mbb
